Flowrate,Exposure Time,Average Value
0ml,0.001,0.36518423891667934
100ml,0.001,0.3323044919734005
150ml,0.001,0.3713850274232788
200ml,0.001,0.365205787215658
238ml,0.001,0.35935235603053606
50ml,0.001,0.3674740668502715
