Flowrate,Exposure Time,Average Value
0ml,0.0008,14.347887121440177
100ml,0.0008,3.864367753100892
150ml,0.0008,3.6382389074389208
200ml,0.0008,4.368964779563309
50ml,0.0008,3.837409037375587
